,block_height,no_nodes,no_edges,value_transacted,total_density,nodes_self,selfloop_value,old_nodes_in,ratio_oldin_totalin,value_to_old,old_density
0,392193.0,7892.0,9048.0,3412606742913.0,0.00014528924667525598,1289.0,80196332742.30952,5896.0,0.6515637086970936,513118554332.0564,0.00016583986215534346
1,378283.0,6087.0,11636.0,2070242068900.0,0.00031410038071579146,1046.0,132209784464.78204,4982.0,0.42811721233995015,839929672885.262,0.00028232627142144083
2,348164.0,5431.0,7712.0,1423580677573.0,0.0002615094507250343,417.0,30120138633.36667,1480.0,0.1918838324906003,516688281740.11554,7.40370206641363e-05
3,343468.0,2186.0,4399.0,519686695994.0,0.0009209845888439225,323.0,18972568531.142857,2046.0,0.465,252289728757.86264,0.0009161678895981047
4,429579.0,2886.0,4363.0,530412754000.0,0.0005240142155220145,422.0,158984316321.91666,1893.0,0.4337763519706691,322802640726.5634,0.0004949291099382619
5,377357.0,1812.0,4204.0,307624563465.0,0.001281108945455964,143.0,15665047112.0,2962.0,0.7043995243757432,156616455491.97522,0.001651191998026419
6,423440.0,7010.0,9881.0,2326456285103.0,0.00020110683044766774,721.0,363401543179.3439,4344.0,0.4395871281117183,1220043979395.1274,0.00020089346616576322
7,397331.0,2727.0,7723.0,662497035863.0,0.0010389031077233427,511.0,53194503441.55556,4739.0,0.6135422061108234,340286566425.09924,0.001153605418951983
8,441878.0,8426.0,11836.0,1088852468223.0,0.00016672993933571445,441.0,38555905158.043304,4990.0,0.4215595167694517,364652615736.2103,0.0002053089659169606
9,393243.0,8038.0,26187.0,241267752968.0,0.00040536269442804386,246.0,3906336610.333333,19336.0,0.7383534443256453,60967508054.07784,0.0003656112407552301
10,344604.0,1708.0,3404.0,261484449882.0,0.0011675303098276967,202.0,24161011840.363636,1773.0,0.520704845814978,133367831624.47757,0.0012721621336583193
11,387615.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,383013.0,2195.0,11459.0,1296172232761.0,0.0023794444571340768,548.0,39587078982.35714,3213.0,0.28036649214659687,604913142016.2952,0.0015048250996692436
13,418856.0,10186.0,12741.0,2300247607850.0,0.00012281143629810993,806.0,339199155261.78815,6657.0,0.5224454559723748,1026809866771.0812,8.151058034374287e-05
14,352860.0,5340.0,12706.0,1907467877188.0,0.00044566412231947374,871.0,85100731152.16666,5919.0,0.46580624852443536,895725186432.6477,0.00040238407225206695
15,363562.0,1635.0,2623.0,327154306667.0,0.0009818123289876066,145.0,11244812966.833334,611.0,0.23285060975609756,84676534522.01904,0.0005773076241600807
16,420400.0,472.0,527.0,225221814463.0,0.002370542300910432,50.0,7861936513.0,304.0,0.5757575757575758,82904551134.7651,0.002715290140439841
17,383537.0,1554.0,4256.0,160368798054.0,0.0017635149637725298,158.0,23774808368.7381,1938.0,0.45525017618040875,79244103799.88095,0.0012093007739524954
18,393266.0,6092.0,12183.0,1158431480474.0,0.0003283263586103217,1162.0,20935058442.09877,5286.0,0.43384766907419564,439724019475.7197,0.0003001591300728879
19,424499.0,7432.0,11429.0,344341447841.0,0.00020694515846469253,917.0,41497452863.28432,6043.0,0.5286964129483814,149634014797.98108,0.000174004329404601
20,374836.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,343093.0,282.0,346.0,47492069750.0,0.0043663713687186086,35.0,2011715219.0,169.0,0.48703170028818443,20683325909.02941,0.004264782836211407
22,446007.0,8546.0,10939.0,751783477010.0,0.00014979684513246523,501.0,86708677163.2864,4941.0,0.4516453382084095,318403461777.17145,0.00015454675715931445
23,411194.0,6678.0,11108.0,1613942660218.0,0.0002491197045298565,949.0,197723846380.8021,4714.0,0.42434062471869655,782215641070.5398,0.00023857691838668221
24,433212.0,5831.0,25370.0,172313737274.0,0.0007462921458708453,391.0,20089685486.75392,11976.0,0.4720350005912262,98372716831.65277,0.0006338396899623286
25,382014.0,4774.0,11878.0,3644709984657.0,0.0005212780906704387,1950.0,205140713463.24997,6004.0,0.5054297499789545,1911733443559.5874,0.0005540473677576414
26,388159.0,6984.0,29343.0,4559337701124.0,0.0006016698383359096,1353.0,301334163043.12317,7537.0,0.2568497818974918,1804730257538.1772,0.00027287277993960515
27,430661.0,6762.0,14236.0,579521098056.0,0.00031138800349500003,640.0,44252639777.70765,3974.0,0.27913183957294374,250932125796.9665,0.00019676827115850065
28,388167.0,2090.0,3233.0,3069798237397.0,0.0007404930359756391,411.0,98399750903.0,1838.0,0.5683364254792826,1696088809165.8616,0.0009149464493534772
29,433225.0,7917.0,10913.0,867229363229.0,0.00017413165380616722,597.0,77713055277.40479,4796.0,0.43943558731903976,370358026500.87976,0.0001545371669648088
30,358987.0,5570.0,7763.0,2082481825922.0,0.00025026330355942567,1105.0,392800161260.5,3496.0,0.4502833590932509,1163079623540.5918,0.0002997508769462228
31,362509.0,812.0,1611.0,267949145743.0,0.0024463503671803342,231.0,16359456534.666668,702.0,0.43548387096774194,64922719154.333336,0.002043520177913421
32,343633.0,4923.0,16997.0,871077037342.0,0.0007014566378300595,942.0,71822732708.09048,3818.0,0.2246146605482998,336279873293.11505,0.00037669188611856195
33,382034.0,6669.0,9677.0,4580230773047.0,0.00021761279772835356,1157.0,112594609737.64175,4324.0,0.44678652614176484,1687887201829.2363,0.0002042489625457248
34,418110.0,4760.0,7306.0,555662753909.0,0.00032252026677449716,499.0,106513542429.92029,4461.0,0.6105104694128918,313110528047.26526,0.00039090751256069985
