,block_height,no_nodes,no_edges,value_transacted,total_density,nodes_self,selfloop_value,old_nodes_in,ratio_oldin_totalin,value_to_old,old_density
0,419842.0,6699.0,13037.0,2173406693344.0,0.0002905511137510396,1084.0,220023635298.2306,7633.0,0.5854425525387329,1080388837856.7155,0.00041193789988067814
1,449541.0,6103.0,26969.0,464451298451.00006,0.0007241845747208697,433.0,37466255517.5,21333.0,0.7909899888765295,325183635029.7948,0.0011129139721732313
2,396806.0,6703.0,9526.0,2852809488614.0,0.00021204934450129516,1028.0,64584448679.83334,4842.0,0.5082397396872048,1322959394135.5342,0.00022871116458148384
3,419336.0,310.0,584.0,20241696143.0,0.0060966697985175905,114.0,2067607514.6666667,402.0,0.6871794871794872,11961191496.692308,0.008656330749354004
4,394156.0,6428.0,8957.0,2650544117762.0,0.0002168095490893902,885.0,102572800069.9819,5131.0,0.5727841035945523,1096032325889.7372,0.0002514200792337154
5,444939.0,370.0,497.0,7662090811.000001,0.003640225591445104,29.0,1773326738.8333333,151.0,0.3032128514056225,4455672814.5,0.0020945458580702435
6,421900.0,7119.0,12683.0,1912285756767.0,0.00025029087458376784,825.0,376976694531.6212,5115.0,0.4032639545884579,1079175167522.8156,0.00020937003349920537
7,377346.0,3662.0,4669.0,701356020535.0,0.0003482617717178025,468.0,79491088451.66667,2214.0,0.47408993576017133,470222251179.3047,0.0003018322449235204
8,357370.0,672.0,1988.0,124545774094.0,0.004408842523596622,175.0,31636532587.85714,518.0,0.2604323780794369,76912547195.05951,0.0029267260631420577
9,438190.0,5403.0,11163.0,1332203902685.0,0.0003824647173471647,356.0,86053166988.77777,4387.0,0.3929595127194554,658778123943.15,0.0003697492781940235
10,376342.0,5532.0,10250.0,1154045966206.0,0.00033499477669607695,835.0,300574854884.57513,6428.0,0.6270607745585797,561884109366.8752,0.0003476041383369573
11,433177.0,5127.0,8434.0,2416757809173.0,0.00032091622686227867,549.0,694579044154.787,4348.0,0.5154712507409602,1880018382737.4692,0.00038149057638056357
12,358778.0,1936.0,5791.0,616987080093.0,0.001545849616674141,630.0,158711094108.3977,2020.0,0.34875690607734805,340100087109.0653,0.0012085189182615569
13,449029.0,8324.0,12472.0,1227650018795.0,0.0001800214004914388,481.0,107812061298.12544,5552.0,0.44512146235869476,388107503074.39545,0.00023381349205805224
14,412195.0,6509.0,10983.0,1538567795338.0,0.0002592741193390873,906.0,95785044095.80833,6803.0,0.6193554260742898,461554848959.6544,0.0002933962062316999
15,374820.0,1077.0,2434.0,296930062540.0,0.002100354488752662,114.0,21807162178.0,680.0,0.2792607802874743,122342116997.32822,0.0011160600010239083
16,363047.0,5686.0,13759.0,1161626509164.0,0.00042564697009210545,950.0,88332698821.61789,5106.0,0.37107558139534885,499566879527.46954,0.000283358073755797
17,406060.0,3167.0,21285.0,301446176653.0,0.0021228273806733647,1845.0,17651107906.047623,10534.0,0.4948792633655924,105163862102.61954,0.0019982731917810056
18,405557.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,424504.0,7027.0,9256.0,1740453136932.0002,0.00018747581357434265,924.0,175605947135.1667,3623.0,0.3913794965971697,619253099925.0623,0.00018781653562685387
20,408927.0,5790.0,12836.0,3324733513246.0,0.00038295486854796675,660.0,95042466422.38094,4039.0,0.31463737633403444,2115518243092.6904,0.00017626402482395396
21,386110.0,1183.0,6301.0,205282434946.99997,0.004506166747478735,107.0,9911479432.333334,475.0,0.07537289749285941,62456583357.690475,0.0010553179748930886
22,436800.0,7506.0,12040.0,939017165405.0,0.00021373085852881098,603.0,165709736514.4449,3136.0,0.26044348476040197,440806678087.70544,0.00015244014166804432
23,416833.0,3414.0,7969.0,1313433712542.0,0.0006839179806491291,454.0,120883107046.13416,2603.0,0.32659974905897116,470360877640.9588,0.0004659130518461874
24,352835.0,3475.0,14123.0,1523032999843.0002,0.001169882746652419,491.0,58564105299.04762,5918.0,0.4190031152647975,491524317493.34937,0.0011794617388068958
25,436662.0,8195.0,12022.0,950558457844.0,0.00017903247111720165,495.0,99849668366.4342,5994.0,0.49854445645845463,417287077505.9076,0.0002390101955141693
26,353863.0,2180.0,5823.0,799339680867.0,0.001225837961189166,372.0,44678906081.45238,1858.0,0.31902472527472525,244887495141.67285,0.0008339004495394377
27,392264.0,3360.0,15060.0,754343740321.0,0.0013343682218347297,660.0,61784631330.66667,7859.0,0.5218113007104442,359742314536.1322,0.0016763679604905376
28,449036.0,7303.0,10591.0,1571539768302.0,0.00019860667413687294,424.0,154924964541.06866,2972.0,0.28058912386706947,543388663814.8316,0.00011043193765838862
29,436663.0,2184.0,3365.0,258807118263.0,0.000705795197320621,465.0,38088239055.111115,1494.0,0.44385026737967914,93955259175.08197,0.000871360916983391
30,369740.0,3748.0,8521.0,822997044698.0,0.0006067465142516005,597.0,105814583769.65497,2680.0,0.31448016897441916,336949812817.4611,0.0005602627862712593
31,411213.0,2648.0,4454.0,276597320678.0,0.0006354454738134832,311.0,27475577046.583336,1901.0,0.42671156004489336,114364483580.03879,0.0004645532812364741
32,374350.0,1226.0,2837.0,151618845981.0,0.0018890035622731963,188.0,12945869794.756212,1986.0,0.6997885835095138,82069190057.4816,0.002500508338030634
33,397905.0,2920.0,8305.0,392307358104.99994,0.0009743672772154097,544.0,15581620215.35021,3772.0,0.45412954490729596,158213720647.44583,0.0009761601227202643
34,429497.0,7936.0,14988.0,1475590534146.0,0.00023800993963046528,1061.0,251864046881.6114,3911.0,0.2609246780972713,756856084082.2521,0.00018166574446237094
35,355419.0,491.0,572.0,42548034189.0,0.00237748867367721,38.0,4356736208.0,281.0,0.49040139616055844,18510567218.89524,0.0022164254172847083
36,419421.0,4430.0,5695.0,467305481344.0,0.0002902580825026108,348.0,126613878550.95238,1835.0,0.3221558988764045,290200900682.2785,0.0001249151522977414
37,374878.0,3339.0,8756.0,342947943302.0,0.0007856027617041442,257.0,91109013876.0,912.0,0.10414525522439191,167576543896.9729,0.0003601422435938334
38,427104.0,7491.0,9818.0,1987659510288.0,0.0001749852381825703,1144.0,175080716460.28485,4313.0,0.4392504328343008,741599782523.0225,0.00021547877234164345
39,379067.0,1282.0,1668.0,116805959316.0,0.001015684655489264,192.0,10779773893.0,733.0,0.43918514080287596,50811028584.75325,0.0009907850065821381
40,365670.0,768.0,6093.0,95439427748.0,0.0103436685136897,84.0,21552371259.333332,5244.0,0.8605185428290122,52045310210.649574,0.03714893617021277
41,344167.0,1110.0,5357.0,81540299460.0,0.004351781899121845,302.0,5601065887.948484,3714.0,0.6931690929451287,26867105977.03338,0.005674359257487087
42,362089.0,4079.0,13500.0,1222110753904.0,0.0008115828137299613,1042.0,43421958601.833336,4169.0,0.3087919413376787,338618820570.922,0.0005929547473227342
43,426090.0,5039.0,7356.0,996182259693.0,0.00028976051112556675,386.0,134930237999.9476,2540.0,0.34524942231888,516360512707.96387,0.00023040389290417452
44,351339.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,397420.0,4295.0,9542.0,686448599443.0,0.000517385441309394,1437.0,49483229773.431755,4925.0,0.5160850885465786,297095367357.7033,0.0005903394400668745
46,413294.0,4285.0,6134.0,1446741639300.0,0.0003341515524918641,567.0,103796210718.02379,2676.0,0.43618581907090465,479193180942.48865,0.00032775140907005104
47,416367.0,2048.0,2943.0,582468823963.0,0.0007020086559599414,145.0,31736004055.5,1568.0,0.532608695652174,317155920924.75037,0.0007232936753270905
48,436849.0,5830.0,9969.0,1489614022074.0,0.00029335195437022024,515.0,90939364220.97614,4527.0,0.45406218655967906,576661816467.5615,0.00031536871380958187
49,434363.0,6016.0,8954.0,1948234868881.0,0.000247442121646239,525.0,37809514133.68129,4623.0,0.5162479061976549,1101864734006.8916,0.0002329339282858572
50,355445.0,249.0,326.0,121819386560.0,0.005279181241093406,45.0,8616818128.0,190.0,0.581039755351682,48554231005.649994,0.006103896103896104
51,375414.0,1857.0,4432.0,778145464736.0,0.0012859079345626057,260.0,118590790403.5,1407.0,0.31739228513422063,510879601742.6763,0.0008821041607926854
